Model,RMSE (mean),RMSE (std),MAE (mean),MAE (std),R2 (mean),R2 (std)
RandomForest,0.7051281312779887,0.12502065376913554,0.5588879729682574,0.08310785798399517,-0.09958397015247644,0.1873264343173264
Lasso,0.7121806231667945,0.1255466686367778,0.5848383376961365,0.08836177518462156,-0.11826535813910985,0.18494868504089187
XGBoost,0.7130891605756349,0.12330627761003607,0.5559759553297944,0.08821903054477698,-0.1392377684370834,0.24335118938499392
GradientBoosting,0.7221236908041118,0.12062522346438262,0.5686965492452731,0.08595358029339577,-0.16627278432701806,0.23793795414915486
Ridge,0.8416920482158746,0.2242086854710317,0.6212936783435801,0.12011089780564535,-0.6592439054462986,0.7771407274617358
