Model,RMSE (mean),RMSE (std),MAE (mean),MAE (std),R2 (mean),R2 (std)
RandomForest,0.751808112352104,0.13928075643770813,0.5898783544956666,0.10826744168624099,-0.1053296047975026,0.11107758330042755
Lasso,0.7555077201356402,0.138599962305222,0.6045800900501752,0.09495009828799439,-0.12009406773090894,0.14451075022944826
GradientBoosting,0.7658424609692107,0.11985514299996765,0.5942580844169294,0.09040838139564289,-0.16359692875292295,0.15390357630043947
XGBoost,0.7705887272257174,0.1295054398291976,0.5991898541690477,0.09999792425001014,-0.17179399196143774,0.14443437623098634
Ridge,0.906967404584979,0.1471550433809779,0.6947626056157011,0.0848242538016423,-0.676730360275794,0.4488324369435813
