Model,RMSE (mean),RMSE (std),MAE (mean),MAE (std),R2 (mean),R2 (std)
XGBoost,0.8668545294617521,0.18707349383020583,0.6807214453119822,0.13683493450071335,0.03969035947718573,0.23610750170148329
GradientBoosting,0.8668850304092489,0.19400270027836736,0.6773794534838856,0.1322602365274089,0.04947839829255489,0.20855618879719579
RandomForest,0.8685841826000058,0.20261017097731182,0.6781998475577284,0.13902829038932416,0.0439297863953441,0.24003467125313555
Lasso,0.9122280882370916,0.15228484893312003,0.7196840149142265,0.08868490917117923,-0.057743555773562515,0.12034286354937622
Ridge,1.073813588297589,0.19719380571364545,0.8282293379912323,0.1274942340482491,-0.4689653176747989,0.24548146380175864
